               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050758,             0.02229,                   0,             0.51336,             0.15872,             0.14202,            0.077878,            0.043124,           0.0070183,                   0,               0.082,               0.002,               0.002
                   1,            0.035435,           0.0053728,                   0,             0.66515,             0.47466,             0.47627,              0.2021,            0.032776,           0.0052113,                   0,            0.063086,           0.0040865,           0.0040865
                   2,            0.045418,           0.0047208,                   0,             0.61678,             0.54125,             0.55096,             0.19339,            0.031747,            0.004154,                   0,            0.044159,           0.0061591,           0.0061591
                   3,            0.042769,           0.0048081,                   0,             0.74199,             0.66169,             0.69561,             0.32598,            0.032086,           0.0040104,                   0,            0.025218,           0.0082178,           0.0082178
                   4,            0.044259,           0.0046114,                   0,             0.62179,             0.51327,             0.49316,             0.15111,            0.039928,           0.0050038,                   0,            0.009868,            0.009868,            0.009868
                   5,            0.046874,           0.0043553,                   0,             0.51789,             0.31858,             0.32442,            0.079075,            0.045475,           0.0054009,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.046643,           0.0041498,                   0,             0.60285,             0.61793,             0.58216,             0.20567,            0.037349,           0.0041242,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.047832,           0.0043571,                   0,             0.61676,             0.61947,             0.62875,             0.21793,             0.03311,           0.0040773,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.038559,           0.0045149,                   0,             0.42518,             0.42478,             0.32516,            0.093964,            0.039082,           0.0044331,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.041471,            0.004368,                   0,             0.64346,             0.70275,             0.63332,             0.21289,            0.035016,           0.0036763,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.042034,            0.004152,                   0,             0.66337,             0.57522,             0.56704,              0.1782,            0.041009,           0.0035764,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.040946,           0.0046141,                   0,             0.55939,             0.33628,             0.31404,             0.08844,             0.04494,           0.0050395,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.038637,           0.0043136,                   0,             0.63069,             0.30088,             0.35215,             0.12985,            0.045831,            0.006033,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.044603,           0.0044281,                   0,             0.73036,             0.72566,             0.67549,             0.21852,            0.033109,           0.0033235,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.042723,           0.0042813,                   0,             0.75593,             0.65783,             0.65232,             0.26344,            0.033402,           0.0043127,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.041874,           0.0042116,                   0,             0.69588,             0.62773,             0.65234,             0.24433,            0.032116,            0.004483,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.040777,            0.004144,                   0,              0.6717,             0.63717,             0.62639,             0.20733,            0.034205,           0.0038264,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.043267,           0.0042986,                   0,             0.75554,               0.465,              0.4823,             0.19295,             0.03594,           0.0058752,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.036679,           0.0040561,                   0,             0.54562,             0.50442,              0.4129,             0.12677,            0.039663,           0.0044522,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.044005,           0.0039172,                   0,             0.74735,             0.49558,             0.54128,             0.18282,            0.037381,           0.0045368,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.035843,            0.003876,                   0,             0.81103,             0.44248,             0.51696,             0.18524,            0.037698,           0.0056296,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.040904,            0.004087,                   0,             0.81717,             0.23736,             0.28242,             0.10792,            0.046467,           0.0058608,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.039166,           0.0038043,                   0,             0.69714,             0.30973,             0.32078,             0.15406,            0.044997,           0.0054583,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.037634,           0.0040582,                   0,             0.62676,             0.40126,             0.44685,             0.21019,            0.034396,           0.0059144,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.031803,           0.0036412,                   0,             0.69992,             0.54867,             0.59509,             0.22255,            0.030014,           0.0053004,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.039507,           0.0038253,                   0,             0.80053,             0.63932,             0.75091,             0.35876,            0.028974,           0.0047384,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.034345,           0.0040455,                   0,             0.79961,             0.56501,             0.64627,             0.23249,            0.035716,           0.0048788,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.037783,           0.0040611,                   0,             0.74717,             0.47077,             0.61085,             0.24966,            0.031213,           0.0055489,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.037044,           0.0038869,                   0,             0.85819,             0.80336,             0.88477,             0.37805,              0.0255,           0.0031741,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.036846,           0.0036183,                   0,              0.9121,             0.82649,             0.92204,             0.45539,            0.026745,           0.0033019,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.035353,           0.0034139,                   0,             0.87337,             0.79346,             0.86918,             0.41921,            0.027777,           0.0041505,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.035645,            0.003761,                   0,              0.8469,             0.63642,             0.73609,             0.36138,            0.028591,           0.0051266,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.032921,            0.003609,                   0,             0.85603,             0.55752,             0.67254,             0.30701,            0.028371,           0.0053342,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.031204,           0.0034702,                   0,             0.87772,             0.69873,             0.78702,              0.4092,            0.025979,           0.0046956,                   0,            0.008944,            0.008944,            0.008944
                  34,              0.0348,            0.003639,                   0,             0.79159,             0.77311,             0.85127,             0.40499,            0.028774,           0.0033054,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.035953,              0.0034,                   0,             0.70065,             0.70427,             0.74715,             0.31527,            0.027225,            0.003717,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.033801,           0.0037079,                   0,             0.72242,             0.88496,             0.85015,              0.3968,            0.028432,           0.0033233,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.036665,           0.0038653,                   0,             0.78689,             0.88227,             0.87985,             0.40718,            0.027909,           0.0030539,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.032587,            0.003769,                   0,             0.90421,             0.83537,             0.90823,             0.41435,             0.02877,           0.0028353,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.035181,            0.003596,                   0,              0.9095,              0.8894,             0.96274,             0.47259,            0.030448,            0.002838,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.032113,           0.0034484,                   0,             0.89447,             0.90016,             0.95972,             0.50953,            0.027283,           0.0029312,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.034851,           0.0035396,                   0,             0.93185,             0.93805,             0.96088,             0.51549,            0.024078,           0.0027234,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.034225,           0.0034548,                   0,             0.85468,             0.87611,             0.92078,             0.37115,            0.027797,           0.0027134,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.030916,           0.0033733,                   0,             0.89269,             0.88496,             0.92621,             0.45445,            0.024918,           0.0028626,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.030203,            0.003562,                   0,             0.92537,              0.8778,             0.93494,             0.48894,            0.021796,           0.0030301,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.035451,           0.0033629,                   0,             0.86505,             0.68073,             0.75374,             0.31013,            0.029519,           0.0042689,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.031436,           0.0036117,                   0,             0.90546,             0.79646,             0.86293,             0.49045,            0.023561,           0.0039682,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.032236,           0.0035149,                   0,             0.85078,             0.81416,             0.91087,             0.45696,            0.022202,            0.003346,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.032403,           0.0031765,                   0,             0.88931,              0.9292,             0.94475,             0.52031,            0.022435,           0.0028408,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.031509,           0.0033949,                   0,             0.94212,             0.86436,             0.94985,             0.43527,            0.024692,           0.0027179,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.028612,           0.0030445,                   0,             0.86676,             0.90265,             0.95473,             0.54151,            0.023503,           0.0027642,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.029958,           0.0031699,                   0,             0.89339,             0.96403,             0.96578,             0.55025,            0.023516,           0.0028075,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.034904,           0.0032323,                   0,             0.88718,             0.92035,              0.9324,             0.49065,            0.025291,             0.00275,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.02827,           0.0030702,                   0,             0.86529,             0.92035,             0.94414,             0.44693,            0.022944,           0.0027113,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.029771,           0.0034666,                   0,             0.87927,             0.90228,             0.93914,             0.49776,            0.025316,           0.0030913,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.030635,            0.003525,                   0,             0.87715,             0.90265,             0.96196,             0.53611,            0.024792,           0.0032074,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.031733,           0.0033448,                   0,             0.91159,             0.91242,             0.96215,              0.5114,            0.023883,           0.0027118,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.03307,           0.0033719,                   0,             0.94552,             0.92161,             0.96534,             0.51617,             0.02498,           0.0026286,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.026246,           0.0029121,                   0,             0.92713,             0.95575,             0.96915,             0.50477,             0.02188,           0.0025486,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.027161,           0.0029271,                   0,             0.90114,             0.96803,             0.97248,             0.56129,            0.024204,           0.0025988,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.030178,           0.0032972,                   0,             0.92734,             0.90359,             0.97164,             0.51947,            0.021151,           0.0026995,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.027334,           0.0032701,                   0,             0.91962,             0.91123,             0.96307,              0.4488,            0.022515,           0.0026908,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.025047,           0.0030577,                   0,             0.90561,             0.93396,             0.96203,             0.57328,            0.019967,           0.0027352,                   0,            0.007987,            0.007987,            0.007987
