               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.034067,           0.0076725,                   0,             0.96167,             0.88811,             0.96619,             0.54466,            0.032864,           0.0071845,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.031832,           0.0077027,                   0,             0.91139,              0.9292,             0.96168,             0.55108,            0.032995,            0.007576,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.032978,            0.007888,                   0,             0.93167,             0.89381,             0.96505,             0.54563,              0.0328,           0.0074218,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.03257,           0.0074416,                   0,              0.8866,             0.89381,             0.93557,             0.55787,            0.032049,           0.0074759,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.032061,           0.0072408,                   0,             0.94633,              0.9115,             0.97076,             0.54088,             0.03194,           0.0069882,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.031895,           0.0075385,                   0,             0.95467,             0.93805,             0.97451,             0.52456,            0.032195,           0.0070728,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.029985,           0.0074738,                   0,             0.96311,              0.9292,              0.9722,             0.56311,             0.03072,           0.0067879,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.030894,           0.0071514,                   0,             0.97295,              0.9115,             0.97779,             0.56843,             0.03012,           0.0070155,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.029454,           0.0072535,                   0,             0.94325,              0.9469,             0.98478,             0.58742,             0.02914,           0.0068863,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.029369,           0.0072216,                   0,             0.94873,              0.9292,             0.98348,             0.58382,            0.028718,           0.0068029,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.029147,           0.0067836,                   0,             0.95408,             0.91938,             0.97967,             0.57261,            0.028877,           0.0068243,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.028569,           0.0070423,                   0,             0.94508,              0.9292,             0.97995,             0.57658,            0.028275,           0.0067682,                   0,            0.000496,            0.000496,            0.000496
