               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029622,            0.003607,                   0,             0.80612,              0.6991,             0.80988,              0.3731,            0.027316,            0.003526,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.034254,            0.003439,                   0,              0.8822,             0.86161,             0.94465,             0.47674,            0.023924,           0.0028331,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028554,           0.0033241,                   0,              0.8856,             0.82207,              0.9152,             0.42944,            0.026112,           0.0029958,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.033063,           0.0033754,                   0,             0.88128,             0.71681,             0.80819,             0.36499,             0.02469,             0.00418,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.030874,           0.0033487,                   0,             0.84384,             0.76514,             0.83232,              0.3777,            0.023233,           0.0039246,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.028233,            0.003253,                   0,             0.87612,             0.84071,             0.92213,             0.50611,            0.023133,           0.0029461,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.030208,           0.0033377,                   0,             0.87804,             0.89195,             0.92206,             0.52577,            0.022903,           0.0028303,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.030011,           0.0031649,                   0,             0.87385,             0.91952,             0.94372,             0.50558,            0.021538,           0.0027359,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.028864,           0.0034096,                   0,             0.86958,              0.9292,             0.95296,             0.51589,            0.020643,           0.0027911,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.028501,           0.0033224,                   0,             0.92087,             0.92691,             0.97213,             0.59951,            0.019488,           0.0027173,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026798,           0.0029561,                   0,              0.8445,             0.92035,             0.95115,             0.51872,            0.021132,           0.0026356,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025705,           0.0031244,                   0,             0.86722,             0.92483,             0.95819,             0.53475,            0.023153,            0.002626,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026842,           0.0027883,                   0,             0.91778,             0.88912,             0.94858,             0.50319,            0.021802,           0.0026542,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.026472,           0.0028755,                   0,             0.93031,             0.94503,             0.97057,             0.56267,            0.019453,           0.0026203,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.029571,           0.0030387,                   0,             0.88349,              0.9292,             0.96231,             0.51038,            0.021708,           0.0025659,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026336,           0.0028304,                   0,             0.81648,             0.94495,             0.93902,             0.46977,            0.022749,           0.0026132,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.027467,           0.0033301,                   0,             0.85134,             0.91222,             0.92399,             0.49176,            0.022882,           0.0026792,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.028794,            0.003225,                   0,             0.83473,              0.9292,             0.94667,             0.55761,            0.022346,           0.0026295,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.027134,           0.0031835,                   0,             0.88808,             0.77245,             0.83376,             0.48517,            0.021759,           0.0041319,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023992,           0.0032128,                   0,             0.90055,             0.84956,             0.92053,             0.54294,            0.020079,           0.0030143,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022256,           0.0028129,                   0,             0.86424,             0.90136,             0.92462,             0.56261,            0.018483,           0.0029426,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023929,           0.0028792,                   0,             0.86208,             0.66379,             0.73474,             0.43609,            0.024534,           0.0052652,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023461,           0.0031586,                   0,             0.86704,             0.92337,             0.91992,             0.53437,            0.017851,           0.0030816,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023155,           0.0031738,                   0,             0.88982,             0.90265,             0.94461,             0.54884,            0.018606,           0.0026045,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.021843,           0.0029354,                   0,             0.86024,             0.93805,             0.96078,             0.54899,            0.018796,           0.0025642,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022831,           0.0027772,                   0,              0.8917,             0.94727,             0.96668,             0.57823,            0.018234,           0.0024864,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022377,           0.0027969,                   0,             0.91824,             0.92035,             0.96895,             0.57267,            0.018821,           0.0025123,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021053,            0.003045,                   0,             0.90267,             0.95575,             0.96765,             0.58222,            0.017234,           0.0026054,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022124,           0.0027309,                   0,             0.89084,             0.93888,             0.96521,             0.57779,            0.017752,           0.0025246,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.024293,           0.0032116,                   0,             0.90148,             0.95575,             0.97042,              0.5869,             0.01677,           0.0025357,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022826,           0.0031156,                   0,             0.92079,             0.92585,             0.97003,             0.61091,            0.019358,           0.0024971,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.022065,           0.0029066,                   0,              0.9129,             0.92751,             0.96769,             0.61022,            0.017945,           0.0024267,                   0,            0.003268,            0.003268,            0.003268
